driver_id,longitude,latitude,zone
494,85,57,58
495,31,78,73
496,82,6,8
497,52,61,65
498,27,84,82
499,80,71,78
500,51,89,85
501,8,64,60
502,33,85,83
503,9,31,30
504,39,52,53
505,44,51,54
506,38,48,43
507,35,23,23
508,15,21,21
509,2,29,20
510,24,36,32
511,30,67,63
512,36,59,53
513,63,28,26
514,7,7,0
515,73,6,7
516,36,42,43
517,32,35,33
518,21,72,72
519,13,22,21
520,45,61,64
521,24,45,42
522,1,56,50
523,2,68,60
524,45,42,44
525,42,59,54
526,19,65,61
527,57,82,85
528,25,61,62
529,41,33,34
530,51,26,25
531,13,79,71
532,88,68,68
533,85,85,88
534,58,38,35
535,64,26,26
536,6,36,30
537,1,18,10
538,67,0,6
539,35,34,33
540,66,3,6
541,19,87,81
542,54,80,85
543,40,60,64
544,11,23,21
545,33,78,73
546,44,11,14
547,20,33,32
548,85,83,88
549,5,55,50
550,20,49,42
551,30,71,73
552,38,71,73
553,89,13,18
554,0,7,0
555,89,70,78
556,48,6,4
557,65,40,46
558,56,32,35
559,42,7,4
560,6,33,30
561,42,20,24
562,8,38,30
563,51,34,35
564,63,13,16
565,26,89,82
566,8,10,10
567,61,49,46
568,13,24,21
569,70,21,27
570,29,54,52
571,52,55,55
572,29,12,12
573,73,35,37
574,59,1,5
575,42,23,24
576,50,77,75
577,1,35,30
578,33,72,73
579,7,47,40
580,84,43,48
581,68,62,66
582,34,8,3
583,53,2,5
584,23,43,42
585,79,19,17
586,48,31,34
587,39,48,43
588,22,23,22
589,89,81,88
590,72,0,7
591,17,81,81
592,84,78,78
593,75,43,47
594,9,80,80
595,14,70,71
596,22,0,2
597,47,52,54
598,44,53,54
599,72,88,87
600,8,39,30
601,87,46,48
602,25,38,32
603,59,49,45
604,45,13,14
605,48,58,54
606,48,52,54
607,62,75,76
608,6,52,50
609,76,75,77
610,51,68,65
611,36,44,43
612,43,83,84
613,81,50,58
614,44,2,4
615,55,11,15
616,37,84,83
617,74,52,57
618,15,2,1
619,4,66,60
620,64,50,56
621,33,70,73
622,24,82,82
623,23,88,82
624,84,77,78
625,73,60,67
626,64,80,86
627,14,64,61
628,1,49,40
629,51,17,15
630,41,22,24
631,60,53,56
632,52,37,35
633,21,9,2
634,18,87,81
635,73,88,87
636,6,61,60
637,18,61,61
638,85,3,8
639,0,58,50
640,69,7,6
641,54,49,45
642,51,65,65
643,73,21,27
644,82,22,28
645,80,1,8
646,63,55,56
647,0,70,70
648,10,30,31
649,60,88,86
650,88,41,48
651,90,46,49
652,37,31,33
653,9,2,0
654,44,47,44
655,52,81,85
656,26,59,52
657,31,88,83
658,76,65,67
659,28,0,2
660,13,8,1
661,77,4,7
662,11,57,51
663,55,85,85
664,60,84,86
665,81,3,8
666,6,80,80
667,17,51,51
668,71,68,67
669,64,16,16
670,1,52,50
671,33,66,63
672,19,65,61
673,15,72,71
674,43,29,24
675,68,19,16
676,67,17,16
677,21,32,32
678,39,10,13
679,90,33,39
680,69,81,86
681,19,62,61
682,22,29,22
683,34,6,3
684,9,27,20
685,41,62,64
686,23,89,82
687,55,14,15
688,81,16,18
689,74,67,67
690,53,23,25
691,82,26,28
692,58,57,55
693,24,0,2
694,0,58,50
695,48,28,24
696,40,15,14
697,56,38,35
698,7,88,80
699,25,15,12
700,21,45,42
701,89,74,78
702,64,34,36
703,38,64,63
704,71,41,47
705,66,72,76
706,88,88,88
707,28,48,42
708,59,72,75
709,81,6,8
710,8,78,70
711,44,31,34
712,17,53,51
713,59,47,45
714,46,4,4
715,35,70,73
716,54,5,5
717,69,39,36
718,12,31,31
719,30,8,3
720,5,67,60
721,50,55,55
722,79,6,7
723,32,27,23
724,61,13,16
725,40,29,24
726,72,33,37
727,85,9,8
728,19,63,61
729,7,36,30
730,33,63,63
731,88,62,68
732,85,60,68
733,73,9,7
734,42,33,34
735,34,2,3
736,30,16,13
737,46,55,54
738,19,80,81
739,39,85,83
740,53,81,85
741,61,81,86
742,64,72,76
743,28,45,42
744,38,69,63
745,10,9,1
746,57,87,85
747,77,52,57
748,72,38,37
749,77,68,67
750,48,72,74
751,75,4,7
752,3,87,80
753,1,70,70
754,29,3,2
755,60,35,36
756,84,41,48
757,31,7,3
758,74,51,57
759,30,50,53
760,26,15,12
761,5,26,20
762,82,16,18
763,26,79,72
764,74,6,7
765,59,70,75
766,62,73,76
767,21,50,52
768,46,67,64
769,11,19,11
770,89,10,18
771,67,88,86
772,12,87,81
773,20,42,42
774,72,14,17
775,43,7,4
776,89,12,18
777,36,43,43
778,49,44,44
779,56,47,45
780,19,19,11
781,85,57,58
782,63,33,36
783,2,34,30
784,19,27,21
785,47,53,54
786,63,22,26
787,15,12,11
788,86,53,58
789,64,28,26
790,56,71,75
791,57,49,45
792,60,87,86
793,87,66,68
794,41,19,14
795,39,59,53
796,70,0,7
797,68,19,16
798,86,13,18
799,4,76,70
800,50,87,85
801,45,84,84
802,10,61,61
803,86,67,68
804,53,39,35
805,50,68,65
806,66,76,76
807,56,36,35
808,64,15,16
809,15,25,21
810,2,78,70
811,82,8,8
812,14,15,11
813,51,80,85
814,87,30,38
815,20,13,12
816,27,76,72
817,17,28,21
818,17,18,11
819,18,56,51
820,36,10,13
821,26,88,82
822,10,13,11
823,68,44,46
824,53,4,5
825,15,11,11
826,13,79,71
827,48,22,24
828,43,10,14
829,89,65,68
830,10,54,51
831,5,85,80
832,16,90,91
833,30,13,13
834,83,76,78
835,52,30,35
836,60,64,66
837,13,67,61
838,33,88,83
839,15,7,1
840,54,10,15
841,4,27,20
842,13,65,61
843,53,9,5
844,31,21,23
845,60,58,56
846,26,33,32
847,55,3,5
848,90,39,39
849,10,0,1
850,24,1,2
851,1,60,60
852,40,53,54
853,64,72,76
854,4,64,60
855,50,83,85
856,7,62,60
857,57,14,15
858,81,76,78
859,2,84,80
860,34,68,63
861,78,90,97
862,57,20,25
863,46,84,84
864,74,0,7
865,42,72,74
866,10,81,81
867,10,26,21
868,79,5,7
869,76,72,77
870,85,44,48
871,30,65,63
872,34,67,63
873,28,73,72
874,59,15,15
875,73,63,67
876,61,88,86
877,49,62,64
878,9,18,10
879,89,17,18
880,71,54,57
881,4,2,0
882,16,55,51
883,51,57,55
884,60,26,26
885,71,6,7
886,17,28,21
887,81,46,48
888,63,15,16
889,61,43,46
890,52,75,75
891,30,45,43
892,83,16,18
893,28,70,72
894,7,73,70
895,65,74,76
896,3,39,30
897,76,66,67
898,86,32,38
899,3,37,30
900,57,7,5
901,69,46,46
902,73,44,47
903,40,24,24
904,3,64,60
905,78,15,17
906,78,15,17
907,89,38,38
908,38,57,53
909,68,3,6
910,40,55,54
911,10,79,71
912,28,13,12
913,71,71,77
914,45,10,14
915,43,20,24
916,90,74,79
917,82,25,28
918,85,46,48
919,40,20,24
920,38,72,73
921,61,74,76
922,73,33,37
923,34,33,33
924,62,54,56
925,15,66,61
926,14,3,1
927,42,2,4
928,25,37,32
929,26,43,42
930,73,13,17
931,83,40,48
932,89,4,8
933,71,66,67
934,42,84,84
935,20,38,32
936,11,5,1
937,75,72,77
938,18,41,41
939,53,64,65
940,85,71,78
941,87,45,48
942,29,80,82
943,68,49,46
944,74,38,37
945,25,26,22
946,34,6,3
947,43,39,34
948,53,67,65
949,86,45,48
950,11,43,41
951,6,64,60
952,76,40,47
953,63,51,56
954,20,73,72
955,3,31,30
956,51,89,85
957,55,48,45
958,56,51,55
959,85,87,88
960,40,34,34
961,36,47,43
962,49,50,54
963,83,58,58
964,17,35,31
965,79,8,7
966,11,67,61
967,52,70,75
968,77,16,17
969,66,14,16
970,6,15,10
971,8,12,10
972,64,26,26
973,61,82,86
974,27,82,82
975,78,49,47
976,15,4,1
977,61,81,86
978,47,42,44
979,20,18,12
980,43,59,54
981,10,46,41
982,47,38,34
983,71,22,27
984,87,88,88
985,90,16,19
986,45,64,64
987,73,85,87
988,34,90,93
989,19,11,11
990,22,13,12
991,72,5,7
992,41,31,34
993,19,17,11
994,16,21,21
995,64,11,16
996,8,88,80
997,17,14,11
998,56,86,85
999,25,20,22
1000,32,13,13
1001,34,68,63
1002,78,83,87
1003,66,50,56
1004,42,5,4
1005,14,77,71
1006,21,41,42
1007,35,41,43
1008,49,37,34
1009,68,18,16
1010,30,75,73
1011,85,57,58
1012,30,4,3
1013,65,9,6
1014,15,44,41
1015,4,24,20
1016,51,42,45
1017,80,36,38
1018,41,80,84
1019,26,20,22
1020,88,84,88
1021,62,52,56
1022,34,64,63
1023,89,57,58
1024,0,30,30
1025,32,7,3
1026,21,9,2
1027,30,53,53
1028,6,50,50
1029,10,83,81
1030,80,88,88
1031,80,80,88
1032,87,42,48
1033,90,35,39
1034,89,9,8
1035,40,50,54
1036,43,51,54
1037,37,14,13
1038,76,37,37
1039,32,51,53
1040,38,90,93
1041,3,84,80
1042,80,84,88
1043,50,12,15
1044,0,4,0
1045,79,60,67
1046,18,57,51
1047,26,88,82
1048,56,39,35
1049,57,71,75
1050,62,43,46
1051,16,27,21
1052,43,42,44
1053,64,74,76
1054,54,12,15
1055,79,14,17
1056,61,86,86
1057,13,1,1
1058,28,48,42
1059,85,76,78
1060,25,82,82
1061,83,38,38
1062,45,63,64
1063,35,1,3
1064,76,28,27
1065,13,66,61
1066,17,26,21
1067,20,20,22
1068,69,60,66
1069,27,27,22
1070,31,43,43
1071,38,36,33
1072,46,37,34
1073,11,28,21
1074,1,19,10
1075,27,53,52
1076,12,50,51
1077,45,83,84
1078,8,14,10
1079,40,53,54
1080,4,11,10
1081,82,1,8
1082,81,32,38
1083,28,86,82
1084,70,56,57
1085,70,52,57
1086,10,43,41
1087,45,26,24
1088,32,32,33
1089,47,37,34
1090,72,69,67
1091,49,59,54
1092,9,18,10
1093,42,16,14
1094,15,85,81
1095,17,61,61
1096,1,9,0
1097,52,47,45
1098,63,33,36
1099,76,52,57
1100,70,5,7
1101,75,63,67
1102,63,71,76
1103,48,12,14
1104,77,76,77
1105,20,81,82
1106,19,26,21
1107,36,21,23
1108,47,70,74
1109,78,42,47
1110,63,12,16
1111,69,12,16
1112,14,21,21
1113,75,5,7
1114,63,59,56
1115,3,73,70
1116,36,3,3
1117,49,52,54
1118,67,37,36
1119,52,14,15
1120,46,29,24
1121,34,9,3
1122,81,36,38
1123,14,85,81
1124,50,78,75
1125,32,68,63
1126,62,39,36
1127,57,19,15
1128,87,51,58
1129,12,80,81
1130,10,20,21
1131,55,9,5
1132,11,51,51
1133,7,67,60
1134,31,30,33
1135,27,51,52
1136,26,38,32
1137,29,16,12
1138,2,45,40
1139,80,30,38
1140,76,85,87
1141,83,43,48
1142,67,68,66
1143,77,55,57
1144,4,47,40
1145,51,64,65
1146,10,35,31
1147,31,28,23
1148,39,9,3
1149,17,55,51
1150,58,0,5
1151,18,4,1
1152,73,45,47
1153,71,34,37
1154,82,24,28
1155,16,14,11
1156,49,11,14
1157,39,58,53
1158,84,90,98
1159,61,0,6
1160,32,52,53
1161,80,61,68
1162,89,55,58
1163,17,3,1
1164,3,31,30
1165,30,73,73
1166,37,43,43
1167,47,62,64
1168,3,14,10
1169,65,52,56
1170,90,79,79
1171,52,58,55
1172,73,45,47
1173,14,64,61
1174,28,80,82
1175,66,58,56
1176,19,68,61
1177,5,54,50
1178,44,61,64
1179,8,9,0
1180,68,13,16
1181,74,35,37
1182,42,22,24
1183,29,60,62
1184,33,62,63
1185,18,4,1
1186,9,85,80
1187,28,34,32
1188,26,73,72
1189,46,3,4
1190,17,59,51
1191,18,17,11
1192,69,89,86
1193,60,28,26
1194,38,25,23
1195,17,82,81
1196,37,45,43
1197,63,60,66
1198,29,7,2
1199,41,12,14
1200,75,2,7
1201,11,51,51
1202,36,20,23
1203,64,49,46
1204,3,40,40
1205,15,47,41
1206,62,18,16
1207,22,0,2
1208,64,74,76
1209,72,45,47
1210,38,9,3
1211,1,10,10
1212,76,7,7
1213,37,61,63
1214,10,56,51
1215,35,24,23
1216,69,28,26
1217,49,43,44
1218,67,56,56
1219,37,75,73
1220,12,48,41
1221,55,73,75
1222,23,80,82
1223,24,57,52
1224,85,51,58
1225,48,88,84
1226,79,27,27
1227,37,0,3
1228,61,10,16
1229,32,82,83
1230,9,44,40
1231,35,11,13
1232,70,35,37
1233,8,87,80
1234,26,27,22
1235,58,62,65
1236,77,70,77
1237,46,88,84
1238,17,73,71
1239,57,86,85
1240,8,44,40
1241,75,25,27
1242,54,56,55
1243,65,17,16
1244,9,20,20
1245,20,20,22
1246,59,46,45
1247,34,31,33
1248,61,72,76
1249,43,4,4
1250,76,78,77
1251,44,78,74
1252,75,58,57
1253,37,34,33
1254,76,69,67
1255,78,51,57
1256,21,62,62
1257,1,88,80
1258,27,85,82
1259,75,83,87
1260,82,21,28
1261,88,43,48
1262,20,86,82
1263,18,30,31
1264,84,62,68
1265,55,86,85
1266,67,46,46
1267,46,41,44
1268,86,15,18
1269,14,78,71
1270,57,38,35
1271,35,14,13
1272,48,2,4
1273,42,66,64
1274,59,89,85
1275,19,24,21
1276,41,60,64
1277,55,52,55
1278,45,64,64
1279,4,46,40
1280,9,79,70
1281,78,72,77
1282,76,59,57
1283,34,41,43
1284,72,59,57
1285,90,51,59
1286,55,67,65
1287,0,73,70
1288,18,66,61
1289,57,59,55
1290,65,15,16
1291,75,62,67
1292,81,29,28
1293,6,25,20
1294,31,40,43
1295,27,87,82
1296,31,78,73
1297,68,22,26
1298,82,83,88
1299,35,59,53
1300,31,70,73
1301,27,18,12
1302,59,70,75
1303,24,64,62
1304,38,32,33
1305,74,68,67
1306,62,21,26
1307,8,27,20
1308,65,11,16
1309,0,21,20
1310,62,21,26
1311,87,15,18
1312,48,0,4
1313,71,59,57
1314,51,22,25
1315,37,40,43
1316,16,49,41
1317,69,44,46
1318,90,57,59
1319,86,73,78
1320,46,83,84
1321,49,49,44
1322,63,54,56
1323,30,39,33
1324,63,0,6
1325,89,52,58
1326,71,5,7
1327,69,85,86
1328,67,83,86
1329,9,1,0
1330,1,72,70
1331,58,60,65
1332,87,31,38
1333,78,65,67
1334,3,59,50
1335,19,2,1
1336,86,6,8
1337,30,73,73
1338,16,55,51
1339,73,32,37
1340,35,15,13
1341,7,6,0
1342,57,48,45
1343,20,30,32
1344,53,57,55
1345,8,72,70
1346,40,31,34
1347,53,17,15
1348,75,83,87
1349,76,22,27
1350,14,28,21
1351,70,60,67
1352,23,60,62
1353,28,8,2
1354,26,25,22
1355,75,25,27
1356,50,55,55
1357,64,33,36
1358,8,27,20
1359,22,3,2
1360,61,22,26
1361,27,83,82
1362,71,19,17
1363,64,54,56
1364,54,59,55
1365,22,35,32
1366,34,12,13
1367,51,77,75
1368,87,52,58
1369,33,73,73
1370,42,2,4
1371,68,67,66
1372,66,8,6
1373,8,31,30
1374,48,35,34
1375,12,30,31
1376,29,21,22
1377,30,70,73
1378,73,26,27
1379,81,24,28
1380,88,26,28
1381,26,69,62
1382,31,80,83
1383,59,43,45
1384,27,47,42
1385,88,76,78
1386,5,89,80
1387,83,27,28
1388,90,11,19
1389,61,59,56
1390,21,5,2
1391,1,8,0
1392,33,10,13
1393,64,83,86
1394,45,23,24
1395,21,63,62
1396,58,82,85
1397,28,17,12
1398,0,12,10
1399,54,6,5
1400,88,57,58
1401,63,24,26
1402,12,29,21
1403,67,51,56
1404,41,81,84
1405,70,86,87
1406,39,53,53
1407,31,65,63
1408,7,85,80
1409,17,31,31
1410,24,77,72
1411,82,14,18
1412,65,73,76
1413,17,21,21
1414,1,66,60
1415,80,13,18
1416,65,62,66
1417,69,71,76
1418,13,35,31
1419,19,17,11
1420,39,50,53
1421,44,21,24
1422,42,58,54
1423,32,9,3
1424,8,11,10
1425,64,78,76
1426,1,17,10
1427,32,85,83
1428,89,7,8
1429,74,45,47
1430,2,3,0
1431,88,87,88
1432,67,32,36
1433,5,72,70
1434,4,70,70
1435,88,89,88
1436,63,78,76
1437,86,28,28
1438,4,47,40
1439,89,47,48
1440,1,5,0
1441,85,20,28
1442,85,89,88
1443,68,2,6
1444,42,43,44
1445,89,2,8
1446,19,64,61
1447,8,81,80
1448,32,33,33
1449,88,66,68
1450,12,78,71
1451,80,45,48
1452,55,56,55
1453,90,89,89
1454,39,0,3
1455,73,68,67
1456,41,36,34
1457,51,54,55
1458,15,36,31
1459,68,62,66
1460,69,74,76
1461,83,68,68
1462,47,83,84
1463,15,79,71
1464,36,42,43
1465,40,63,64
1466,50,58,55
1467,13,51,51
1468,51,27,25
1469,8,57,50
1470,37,52,53
1471,85,66,68
1472,57,35,35
1473,5,52,50
1474,67,75,76
1475,88,34,38
1476,11,24,21
1477,7,23,20
1478,62,41,46
1479,56,5,5
1480,41,37,34
1481,68,36,36
1482,87,11,18
1483,32,24,23
1484,54,16,15
1485,30,48,43
1486,1,6,0
1487,60,57,56
1488,58,78,75
1489,59,52,55
1490,54,59,55
1491,58,78,75
1492,82,20,28
1493,84,31,38
1494,56,62,65
1495,35,41,43
1496,12,46,41
1497,23,18,12
1498,54,69,65
1499,30,76,73
1500,33,65,63
1501,1,27,20
1502,85,62,68
1503,64,46,46
1504,9,75,70
1505,83,47,48
1506,32,0,3
1507,24,69,62
1508,33,69,63
1509,69,59,56
1510,58,70,75
1511,8,4,0
1512,4,28,20
1513,48,13,14
1514,10,87,81
1515,5,5,0
1516,5,59,50
1517,89,6,8
1518,48,80,84
1519,58,74,75
1520,88,67,68
1521,29,40,42
1522,8,31,30
1523,35,64,63
1524,56,13,15
1525,83,78,78
1526,15,5,1
1527,67,6,6
1528,66,75,76
1529,36,19,13
1530,47,81,84
1531,66,85,86
1532,35,22,23
1533,19,23,21
1534,62,21,26
1535,62,67,66
1536,83,5,8
1537,45,48,44
1538,88,16,18
1539,51,14,15
1540,59,60,65
1541,56,69,65
1542,52,23,25
1543,19,11,11
1544,5,40,40
1545,80,58,58
1546,48,58,54
1547,45,36,34
1548,66,13,16
1549,9,18,10
1550,16,50,51
1551,23,81,82
1552,0,21,20
1553,9,85,80
1554,37,32,33
1555,41,25,24
1556,3,17,10
1557,9,26,20
1558,22,33,32
1559,50,16,15
1560,77,53,57
1561,6,37,30
1562,82,5,8
1563,24,14,12
1564,86,63,68
1565,27,40,42
1566,64,60,66
1567,6,78,70
1568,7,63,60
1569,63,4,6
1570,88,56,58
1571,17,84,81
1572,80,16,18
1573,44,68,64
1574,21,60,62
1575,54,54,55
1576,13,60,61
1577,37,15,13
1578,30,56,53
1579,53,65,65
1580,87,89,88
1581,14,83,81
1582,72,85,87
1583,45,0,4
1584,2,54,50
1585,18,41,41
1586,2,89,80
1587,4,57,50
1588,60,11,16
1589,34,0,3
1590,67,29,26
1591,77,14,17
1592,83,9,8
1593,53,73,75
1594,74,45,47
1595,17,57,51
1596,3,25,20
1597,31,65,63
1598,21,40,42
1599,72,71,77
1600,68,67,66
1601,35,29,23
1602,48,39,34
1603,33,69,63
1604,86,46,48
1605,86,47,48
1606,7,9,0
1607,13,30,31
1608,4,38,30
1609,29,20,22
1610,62,38,36
1611,21,77,72
1612,71,15,17
1613,23,0,2
1614,60,89,86
1615,35,31,33
1616,68,54,56
1617,86,23,28
1618,31,81,83
1619,52,64,65
1620,40,50,54
1621,35,73,73
1622,24,55,52
1623,39,66,63
1624,25,50,52
1625,83,14,18
1626,23,69,62
1627,75,52,57
1628,60,20,26
1629,26,42,42
1630,9,16,10
1631,59,36,35
1632,42,89,84
1633,38,63,63
1634,62,34,36
1635,69,72,76
1636,64,31,36
1637,59,54,55
1638,25,10,12
1639,38,88,83
1640,83,9,8
1641,24,61,62
1642,37,21,23
1643,61,68,66
1644,28,10,12
1645,60,83,86
1646,87,90,98
1647,24,61,62
1648,41,52,54
1649,60,79,76
1650,81,9,8
1651,85,16,18
1652,60,51,56
1653,55,36,35
1654,50,52,55
1655,25,31,32
1656,54,46,45
1657,42,9,4
1658,14,51,51
1659,73,62,67
1660,2,63,60
1661,37,13,13
1662,64,53,56
1663,51,66,65
